/home/shenshiyu/SmartTrafficFramework/dataloader.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.indices = torch.tensor(self.indices.clone().detach(),dtype=torch.int64)
Train epoch     46/100   |  Loss: 0.13372810  |  Acc: 71.67%   |  Acc_inner: 94.98%   |  LR: 0.00056267  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.98   m  |  Total time: 1.86   m
Train epoch     47/100   |  Loss: 0.12736800  |  Acc: 72.75%   |  Acc_inner: 96.40%   |  LR: 0.00054705  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.06   m  |  Total time: 1.96   m
Train epoch     48/100   |  Loss: 0.14390731  |  Acc: 72.03%   |  Acc_inner: 95.45%   |  LR: 0.00053140  | Load data time: 0.35...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.04   m  |  Total time: 1.95   m
Train epoch     49/100   |  Loss: 0.13277610  |  Acc: 72.44%   |  Acc_inner: 95.99%   |  LR: 0.00051571  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 0.98   m  |  Total time: 1.88   m
Train epoch     50/100   |  Loss: 0.14356221  |  Acc: 71.87%   |  Acc_inner: 95.25%   |  LR: 0.00050000  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.07   m  |  Total time: 1.96   m
Train epoch     51/100   |  Loss: 0.13578604  |  Acc: 72.18%   |  Acc_inner: 95.66%   |  LR: 0.00048429  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.06   m  |  Total time: 1.96   m
Train epoch     52/100   |  Loss: 0.13774505  |  Acc: 71.93%   |  Acc_inner: 95.32%   |  LR: 0.00046860  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.06   m  |  Total time: 1.96   m
Train epoch     53/100   |  Loss: 0.13470514  |  Acc: 71.93%   |  Acc_inner: 95.32%   |  LR: 0.00045295  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.08   m  |  Total time: 2.02   m
Train epoch     54/100   |  Loss: 0.13586561  |  Acc: 72.13%   |  Acc_inner: 95.59%   |  LR: 0.00043733  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.06   m  |  Total time: 1.97   m
Train epoch     55/100   |  Loss: 0.12513947  |  Acc: 72.18%   |  Acc_inner: 95.66%   |  LR: 0.00042178  | Load data time: 0.32...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.44   m  |  Backward time: 0.95   m  |  Total time: 1.81   m
Train epoch     56/100   |  Loss: 0.12412515  |  Acc: 72.03%   |  Acc_inner: 95.45%   |  LR: 0.00040631  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 0.94   m  |  Total time: 1.83   m
Train epoch     57/100   |  Loss: 0.12562838  |  Acc: 72.28%   |  Acc_inner: 95.79%   |  LR: 0.00039093  | Load data time: 0.35...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 1.03   m  |  Total time: 1.94   m
Train epoch     58/100   |  Loss: 0.11078810  |  Acc: 72.39%   |  Acc_inner: 95.93%   |  LR: 0.00037566  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.05   m  |  Total time: 1.96   m
Train epoch     59/100   |  Loss: 0.13666679  |  Acc: 72.34%   |  Acc_inner: 95.86%   |  LR: 0.00036050  | Load data time: 0.34...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.46   m  |  Backward time: 0.91   m  |  Total time: 1.81   m
